smiles,murcko_scaffold,cluster_id
COCC(=O)Nc1ccc2OC[C@H](C)N(CCc3ccccc3)C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
COc1ccc(CN(C)C[C@H]2OCc3cn(CCCC(=O)N(C[C@H]2C)[C@H](C)CO)nn3)cc1,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(c2)C(F)(F)F)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCC(=O)Nc1ccc2OC[C@H](C)N(CCc3ccccc3)C[C@H](C)[C@@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(C)c2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]1OCc2ccccc2-c2c(C(=O)N(C[C@@H]1C)[C@@H](C)CO)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCC(=O)Nc1ccc2OC[C@H](C)N(CCc3ccccc3)C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)C#Cc1ccccc1F,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2C(F)(F)F)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
Cc1ccc(cc1)S(=O)(=O)N[C@@H]1CC[C@@H](CC(O)=O)O[C@@H]1CO,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
COc1ccccc1S(=O)(=O)N(C)C[C@H]1OCc2ccccc2-c2c(C(=O)N(C[C@H]1C)[C@H](C)CO)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)Oc2c(NS(C)(=O)=O)cccc2C1=O,O=C1NCCCOc2ccccc21,219
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2cccc(O)c2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOc2ccccc21,219
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO)N(C)C,O=C1NCCCOc2ccccc21,219
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CCCN(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(O)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COCC(=O)Nc1ccc2OC[C@H](C)N(CCc3ccccc3)C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COc1cc(ccc1OC(C)=O)C(=O)Nc1ccc(O)cc1,O=C(Nc1ccccc1)c1ccccc1,777
COc1cccc(c1)S(=O)(=O)N[C@@H]1CC[C@@H](CCN)O[C@@H]1CO,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CC(C)NC(=O)Nc1cccc2c1O[C@H](CN(C)S(C)(=O)=O)[C@H](C)CN([C@@H](C)CO)C2=O,O=C1NCCCOc2ccccc21,219
CO[C@@H]1CN(C)C(=O)c2cc(NC(C)=O)ccc2OC[C@@H](C)N(CCc2ccccc2)C[C@H]1C,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCC(=O)N[C@@H]1CC[C@@H](CC(=O)OC)O[C@H]1CO,C1CCOCC1,1027
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
CNC[C@@H]1Oc2c(cccc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C,O=C1NCCCOc2ccccc21,219
COc1cccc(c1)C(=O)Nc1ccc(cc1)C(O)=O,O=C(Nc1ccccc1)c1ccccc1,777
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2C#N)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
COc1cccc(CN(C)C[C@H]2OCc3cn(CCCC(=O)N(C[C@@H]2C)[C@H](C)CO)nn3)c1,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CC(C)NC(=O)N(C)C[C@H]1Oc2c(cccc2C(=O)N(C[C@@H]1C)[C@H](C)CO)N(C)C,O=C1NCCCOc2ccccc21,219
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)-c1cccc(c1)C#N,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,177
CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,O=C(Nc1ccccc1)c1ccccc1,777
CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC)cc2)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CO[C@H]1CN(C)C(=O)c2cc(NC(C)=O)ccc2OC[C@H](C)N(CCc2ccccc2)C[C@H]1C,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCC(=O)N[C@H]1CC[C@@H](CC(=O)OC)O[C@H]1CO,C1CCOCC1,1027
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
COc1cccc(c1)C(=O)Nc1ccc(F)cc1F,O=C(Nc1ccccc1)c1ccccc1,777
COc1ccc(cc1)S(=O)(=O)Nc1ccc2O[C@H](C)CCCCO[C@@H](CN(C)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
NCC[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(Cl)cc2)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2cc(ccc2S1(=O)=O)-c1ccccc1C,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,177
CC(C)NC(=O)N[C@@H]1CC[C@H](CCN)O[C@@H]1CO,C1CCOCC1,1027
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(cccc2C(=O)N(C[C@@H]1C)[C@H](C)CO)N(C)C,O=C1NCCCOc2ccccc21,219
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCN(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COc1ccccc1S(=O)(=O)N(C)C[C@H]1OCc2ccccc2-c2c(C(=O)N(C[C@H]1C)[C@@H](C)CO)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2F)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCN(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCN(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
OC(=O)\C=C\c1cccc(NC(=O)c2ccc(Cl)cc2)c1,O=C(Nc1ccccc1)c1ccccc1,777
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2F)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@@H]1Oc2c(N)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOc2ccccc21,219
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCC(=O)N[C@H]1CC[C@H](CC(=O)OC)O[C@H]1CO,C1CCOCC1,1027
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCCN(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cccc(c2)C#N)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CCC(=O)Nc1ccc2c(OC[C@H](C)N(CCc3ccccc3)C[C@H](C)[C@@H](CN(C)C2=O)OC)c1,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
CCC(=O)Nc1ccc2c(OC[C@@H](C)N(CCc3ccccc3)C[C@H](C)[C@H](CN(C)C2=O)OC)c1,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOc2ccccc21,219
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COc1ccc(NC(=O)c2cccc(NC(=O)C(C)C)c2)c(c1)[N+]([O-])=O,O=C(Nc1ccccc1)c1ccccc1,777
CNC[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)C#Cc1cccc(OC)c1,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CN(C)C(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CC(C)NC(=O)Nc1cccc2c1O[C@@H](CN(C)S(C)(=O)=O)[C@H](C)CN([C@H](C)CO)C2=O,O=C1NCCCOc2ccccc21,219
CNC[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)C#Cc1ccccc1F,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCC(=O)Nc1ccc2c(OC[C@@H](C)N(CCc3ccccc3)C[C@@H](C)[C@H](CN(C)C2=O)OC)c1,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
COc1cccc(CN(C)C[C@H]2OCc3cn(CCCC(=O)N(C[C@H]2C)[C@H](C)CO)nn3)c1,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cccc(F)c2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N,O=C(Nc1ccccc1)c1ccccc1,777
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(C)=O)Oc2ncc(cc2C1=O)C#Cc1ccc(F)cc1,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
CNC[C@@H]1Oc2c(N)cccc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOc2ccccc21,219
CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
COc1ccc(NC(=O)N(C)C[C@H]2Oc3cc(ccc3S(=O)(=O)N(C[C@H]2C)[C@@H](C)CO)-c2cccc(c2)C(=O)N(C)C)cc1,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,177
CCC(=O)N[C@@H]1CC[C@H](CC(=O)OC)O[C@H]1CO,C1CCOCC1,1027
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCOc1cc(cc(Br)c1OC)C(=O)Nc1ccc(F)cc1,O=C(Nc1ccccc1)c1ccccc1,777
Cc1ccc(NC(=O)c2ccc(cc2)C(C)(C)C)cc1[N+]([O-])=O,O=C(Nc1ccccc1)c1ccccc1,777
CCCN(C)C[C@H]1Oc2ncc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)C#Cc1ccccc1OC,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
CC(C)NC(=O)N[C@@H]1CC[C@H](CCN)O[C@H]1CO,C1CCOCC1,1027
CCOc1c(Cl)cc(cc1Cl)C(=O)Nc1ccccc1C(O)=O,O=C(Nc1ccccc1)c1ccccc1,777
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2F)Oc2cc(ccc2S1(=O)=O)-c1ccc(cc1)C(=O)N(C)C,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,177
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)-c1cccc(c1)C#N,O=C(NC[C@@H]1CCNS(=O)(=O)c2ccc(-c3ccccc3)cc2O1)Nc1ccccc1,177
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
